"customerid","gender","seniorcitizen","partner","dependents","tenure","phoneservice","multiplelines","internetservice","onlinesecurity","onlinebackup","deviceprotection","techsupport","streamingtv","streamingmovies","paperlessbilling","paymentmethod","monthlycharges","totalcharges","customer_churn"
"0946-CLJTI","Male",1,"Yes","No",58,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Yes","Electronic check",98.7,5812.6,"Yes"
"5356-RHIPP","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Yes","Mailed check",20.2,20.2,"Yes"
"2325-NBPZG","Female",0,"No","No",3,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Yes","Electronic check",74.55,233.65,"No"
"2519-ERQOJ","Male",1,"No","No",33,"No","No phone service","DSL","No","No","Yes","Yes","Yes","Yes","Yes","Electronic check",54.6,1803.7,"No"
"7577-SWIFR","Male",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Yes","Electronic check",89.25,89.25,"No"
"3923-CSIHK","Female",1,"Yes","No",50,"Yes","No","Fiber optic","No","No","No","No","No","No","Yes","Electronic check",71.05,3444.85,"Yes"
"6849-WLEYG","Male",0,"No","Yes",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Mailed check",19.75,19.75,"Yes"
"9839-ETQOE","Male",0,"No","Yes",43,"No","No phone service","DSL","Yes","Yes","Yes","No","No","No","Yes","Electronic check",40.45,1912.85,"No"
"6402-ZFPPI","Female",1,"No","No",25,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","Yes","Mailed check",102.8,2660.2,"Yes"
"6496-SLWHQ","Male",1,"No","No",3,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Yes","Electronic check",105,294.45,"Yes"
"6705-LNMDD","Male",0,"No","No",20,"Yes","No","DSL","No","No","No","Yes","No","No","No","Mailed check",50,1003.05,"No"
"5600-KTXFM","Male",0,"Yes","Yes",2,"Yes","No","Fiber optic","No","No","No","No","No","No","No","Mailed check",69.95,143.9,"No"
"8439-LTUGF","Male",0,"No","No",10,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Yes","Credit card (automatic)",20,198.6,"No"
"2933-FILNV","Female",0,"Yes","Yes",2,"No","No phone service","DSL","No","No","No","No","No","No","Yes","Mailed check",24.4,36.55,"Yes"
"3877-JRJIP","Male",0,"No","No",1,"Yes","Yes","DSL","No","No","No","No","Yes","No","Yes","Electronic check",59.85,59.85,"Yes"
"2436-QBZFP","Female",0,"Yes","Yes",22,"No","No phone service","DSL","No","Yes","No","No","Yes","No","No","Electronic check",39.2,849.9,"No"
"7401-RUBNK","Female",0,"Yes","No",18,"Yes","No","Fiber optic","Yes","No","No","No","No","No","No","Electronic check",74.8,1438.05,"No"
"3143-JQEGI","Female",0,"Yes","Yes",13,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","No","Electronic check",88.35,1222.8,"Yes"
"7176-WIONM","Female",0,"Yes","No",12,"No","No phone service","DSL","No","No","Yes","No","Yes","Yes","Yes","Bank transfer (automatic)",49.85,617.15,"No"
"3374-LXDEV","Female",0,"No","No",13,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","No","No","Electronic check",89.4,1132.35,"Yes"
"6927-WTFIV","Male",1,"No","No",20,"Yes","No","Fiber optic","No","No","No","No","No","No","No","Credit card (automatic)",71.3,1389.2,"Yes"
"5429-LWCMV","Female",0,"No","No",12,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Yes","Electronic check",89.15,1057.55,"No"
"9693-XMUOB","Male",1,"Yes","No",59,"No","No phone service","DSL","No","Yes","No","No","Yes","Yes","Yes","Electronic check",50.25,2997.45,"No"
"1577-HKTFG","Female",0,"Yes","No",30,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Bank transfer (automatic)",19.65,655.85,"Yes"
"0979-PHULV","Male",0,"Yes","Yes",69,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Yes","Credit card (automatic)",99.45,7007.6,"Yes"
"0114-PEGZZ","Female",0,"No","No",33,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","No","Electronic check",107.55,3645.5,"No"
"7175-NTIXE","Female",0,"No","No",25,"Yes","No","DSL","Yes","No","No","Yes","Yes","Yes","Yes","Credit card (automatic)",76.15,1992.95,"No"
"0842-IWYCP","Female",0,"No","No",46,"Yes","No","DSL","No","No","No","No","No","No","No","Bank transfer (automatic)",44.95,2168.9,"No"
"1196-AMORA","Male",0,"No","No",7,"Yes","Yes","Fiber optic","No","No","No","No","No","No","No","Electronic check",73.6,520,"Yes"
"1777-JYQPJ","Male",0,"No","No",2,"No","No phone service","DSL","No","No","No","No","No","No","No","Mailed check",24.3,38.45,"No"
"8212-CRQXP","Female",0,"Yes","No",22,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Yes","Credit card (automatic)",80,1706.45,"No"
"5186-PEIZU","Female",0,"No","No",35,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Bank transfer (automatic)",19.25,617.65,"No"
"8344-WFMFH","Male",0,"No","Yes",9,"Yes","No","DSL","No","Yes","No","No","No","No","Yes","Electronic check",50.1,484.05,"No"
"9700-ZCLOT","Male",0,"No","No",2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Mailed check",20,32.7,"No"
"9860-LISIZ","Female",0,"No","No",34,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Mailed check",20.35,673.2,"No"
"5939-XAIXZ","Female",0,"No","No",19,"Yes","Yes","DSL","No","No","Yes","No","No","No","Yes","Mailed check",56.1,1033.9,"No"
"6212-ATMLK","Female",0,"No","No",50,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Yes","Electronic check",95.7,4729.75,"No"
"6923-JHPMP","Female",0,"No","No",2,"Yes","No","Fiber optic","Yes","No","Yes","No","No","No","Yes","Electronic check",80.45,137.1,"No"
"7587-RZNME","Male",0,"No","No",3,"Yes","No","DSL","No","No","No","No","No","No","Yes","Electronic check",43.3,123.65,"Yes"
"9507-EXLTT","Female",0,"Yes","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Yes","Bank transfer (automatic)",79.35,79.35,"Yes"
"4818-DRBQT","Male",0,"Yes","No",29,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Yes","Bank transfer (automatic)",80.15,2265.25,"Yes"
"9647-ERGBE","Female",0,"Yes","Yes",30,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Yes","Electronic check",100.05,3046.15,"Yes"
"5054-IEXZT","Male",0,"No","Yes",1,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Yes","Electronic check",75.35,75.35,"Yes"
"7330-WZLNC","Female",0,"No","No",5,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Yes","Electronic check",90.8,455.5,"Yes"
"7233-IOQNP","Female",0,"Yes","No",43,"No","No phone service","DSL","Yes","No","No","Yes","No","No","No","Bank transfer (automatic)",34,1505.35,"No"
"4749-OJKQU","Female",0,"No","No",4,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Yes","Electronic check",75.65,302.35,"No"
"3301-LSLWQ","Female",0,"No","No",29,"Yes","Yes","DSL","Yes","No","No","No","No","Yes","Yes","Electronic check",66.1,1912.15,"No"
"8779-QRDMV","Male",1,"No","No",1,"No","No phone service","DSL","No","No","Yes","No","No","Yes","Yes","Electronic check",39.65,39.65,"Yes"
"1536-HBSWP","Female",0,"No","No",1,"Yes","No","DSL","No","No","No","Yes","No","No","Yes","Electronic check",49.9,49.9,"No"
"3174-RKMOW","Male",0,"Yes","Yes",35,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Yes","Electronic check",109.95,3782.4,"No"
"0742-MOABM","Male",0,"Yes","No",4,"Yes","No","DSL","No","No","No","Yes","No","No","No","Mailed check",50.05,179.35,"Yes"
"2957-LOLHO","Male",0,"No","No",12,"Yes","No","DSL","No","No","No","No","No","No","Yes","Bank transfer (automatic)",45.4,518.9,"Yes"
"7363-QTBIW","Female",0,"Yes","No",9,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Yes","Electronic check",79.75,769.1,"No"
"3039-MJSLN","Male",0,"No","Yes",3,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Bank transfer (automatic)",20.2,50.6,"No"
"3254-YRILK","Male",1,"No","No",19,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Yes","Electronic check",88.2,1775.8,"Yes"
"7426-RHZGU","Male",0,"No","No",9,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Yes","Bank transfer (automatic)",95.9,827.45,"No"
"9822-BIIGN","Male",0,"Yes","Yes",53,"Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","No","Electronic check",71.85,3827.9,"No"
"5482-VXSXJ","Male",0,"No","No",22,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Yes","Mailed check",93.2,2157.3,"No"
"5546-BYZSM","Female",0,"No","No",41,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Electronic check",20.45,775.6,"No"
"2277-DJJDL","Male",1,"Yes","No",60,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Yes","Electronic check",99,6017.9,"No"
"6161-UUUTA","Male",1,"No","No",3,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Yes","Electronic check",79.9,260.9,"Yes"
"5453-AXEPF","Male",0,"Yes","No",17,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Yes","Bank transfer (automatic)",80.5,1336.9,"No"
"5131-PONJI","Male",0,"Yes","Yes",49,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","No","Yes","Credit card (automatic)",90.4,4494.65,"No"
"4537-DKTAL","Female",0,"No","No",2,"Yes","No","DSL","No","No","No","No","No","No","No","Electronic check",45.55,84.4,"No"
"9327-QSDED","Male",0,"No","No",8,"Yes","No","DSL","No","No","No","No","No","No","No","Mailed check",43.55,335.4,"No"
"6128-AQBMT","Male",1,"Yes","No",41,"No","No phone service","DSL","No","Yes","Yes","No","Yes","Yes","Yes","Electronic check",53.95,2215.4,"No"
"0112-QAWRZ","Male",0,"Yes","Yes",16,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Yes","Bank transfer (automatic)",90.8,1442.2,"No"
"7538-GWHML","Female",0,"No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","No","Electronic check",69.65,145.15,"Yes"
"4701-MLJPN","Male",0,"No","No",31,"Yes","No","DSL","No","No","Yes","Yes","No","No","Yes","Electronic check",55.25,1715.65,"Yes"
"5928-QLDHB","Male",0,"No","No",9,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Yes","Electronic check",76.25,684.85,"No"
"2880-FPNAE","Male",1,"Yes","No",2,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Yes","Electronic check",74.2,140.1,"No"
"7817-BOQPW","Female",0,"No","No",2,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Yes","Electronic check",75.55,166.3,"Yes"
"0334-GDDSO","Male",1,"No","No",3,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Yes","Electronic check",81.35,233.7,"Yes"
"2087-QAREY","Female",0,"Yes","No",22,"Yes","No","DSL","No","Yes","Yes","No","No","No","Yes","Mailed check",54.7,1178.75,"No"
"7853-GVUDZ","Female",0,"Yes","Yes",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Yes","Credit card (automatic)",20.15,20.15,"Yes"
"1400-MMYXY","Male",1,"Yes","No",3,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Yes","Electronic check",105.9,334.65,"Yes"
"0096-FCPUF","Male",0,"No","No",30,"Yes","Yes","DSL","Yes","No","No","No","No","Yes","Yes","Mailed check",64.5,1888.45,"No"
"3038-PQIUY","Female",0,"No","No",38,"Yes","Yes","DSL","Yes","Yes","Yes","No","No","No","Yes","Bank transfer (automatic)",66.15,2522.4,"No"
"4521-YEEHE","Female",0,"Yes","No",18,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","No","Yes","Electronic check",88.85,1594.75,"No"
"8963-JLGJT","Male",0,"No","Yes",3,"Yes","No","DSL","Yes","No","Yes","No","No","No","No","Mailed check",55.9,157.55,"No"
"7691-KGKGP","Male",0,"Yes","Yes",53,"Yes","No","DSL","No","Yes","No","Yes","Yes","No","No","Credit card (automatic)",65,3363.8,"No"
"7895-VONWT","Female",0,"No","No",25,"No","No phone service","DSL","No","No","Yes","No","Yes","Yes","Yes","Electronic check",48.25,1293.8,"No"
"4083-EUGRJ","Male",0,"No","No",9,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Mailed check",20.25,178.5,"Yes"
"4430-YHXGG","Female",0,"No","Yes",4,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Yes","Mailed check",25.45,84.2,"No"
"3657-COGMW","Female",1,"No","No",52,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","No","Credit card (automatic)",108.1,5839.3,"No"
"5899-MQZZL","Female",0,"No","No",13,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Yes","Mailed check",75,999.45,"Yes"
"2223-KAGMX","Female",0,"No","No",15,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Bank transfer (automatic)",19.4,289.3,"Yes"
"1066-JKSGK","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Mailed check",20.15,20.15,"Yes"
"3003-CMDUU","Female",0,"Yes","No",25,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Yes","Electronic check",95.15,2395.7,"No"
"2608-BHKFN","Female",0,"No","No",4,"Yes","No","Fiber optic","No","No","No","No","No","No","Yes","Credit card (automatic)",70.05,266.9,"Yes"
"9631-XEYKE","Male",0,"No","No",3,"Yes","Yes","DSL","No","No","No","No","No","No","No","Bank transfer (automatic)",50.4,137.25,"No"
"3331-HQDTW","Female",0,"No","No",34,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Yes","Mailed check",109.8,3587.25,"Yes"
"3001-UNBTL","Male",1,"Yes","Yes",29,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Yes","Electronic check",103.95,2964.8,"No"
"5921-NGYRH","Male",0,"Yes","No",64,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Yes","Mailed check",73.55,4764,"No"
"4351-QLCSU","Female",0,"No","No",1,"Yes","No","DSL","No","No","No","No","Yes","No","Yes","Credit card (automatic)",55,55,"Yes"
"5480-TBGPH","Female",0,"Yes","No",24,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Yes","Credit card (automatic)",99.3,2431.35,"Yes"
"1087-UDSIH","Female",0,"No","No",3,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Yes","Mailed check",19.6,59.75,"Yes"
"6581-NQCBA","Female",0,"Yes","No",16,"No","No phone service","DSL","No","No","No","Yes","Yes","Yes","Yes","Electronic check",49.95,810.2,"Yes"
"9961-JBNMK","Male",1,"No","No",21,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Yes","Bank transfer (automatic)",96.8,2030.3,"Yes"
"8372-JUXUI","Male",0,"No","Yes",1,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Yes","Electronic check",74.35,74.35,"Yes"
"8644-XYTSV","Male",0,"Yes","No",42,"No","No phone service","DSL","Yes","No","No","No","Yes","No","Yes","Bank transfer (automatic)",40.15,1626.05,"No"
"2257-BOVXD","Male",0,"Yes","No",14,"Yes","Yes","DSL","No","No","No","Yes","Yes","No","Yes","Credit card (automatic)",66.6,979.5,"No"
"2968-SSGAA","Female",0,"No","No",10,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Yes","Electronic check",100.6,1060.2,"Yes"
"8740-CRYFY","Male",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Yes","Electronic check",78.95,78.95,"Yes"
"2672-OJQZP","Female",0,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","No","Mailed check",44.75,44.75,"No"
"0067-DKWBL","Male",1,"No","No",2,"Yes","No","DSL","Yes","No","No","No","No","No","Yes","Electronic check",49.25,91.1,"Yes"
"9547-ITEFG","Male",0,"Yes","Yes",9,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Yes","Credit card (automatic)",102.6,897.75,"No"
"4554-YGZIH","Male",1,"Yes","No",49,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","No","Credit card (automatic)",90.05,4547.25,"Yes"
"1120-BMWUB","Female",0,"No","No",16,"Yes","No","DSL","No","Yes","No","Yes","No","No","Yes","Mailed check",53.9,834.15,"Yes"
"6259-WJQLC","Male",1,"No","No",32,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Yes","Credit card (automatic)",81.1,2619.25,"No"
"2262-SLNVK","Female",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","No","Electronic check",70.1,70.1,"No"
"7508-MYBOG","Male",0,"Yes","No",14,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Yes","Electronic check",86.1,1235.55,"Yes"
"4603-JANFB","Male",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Yes","Electronic check",69.85,69.85,"Yes"
"6242-MBHPK","Female",1,"Yes","No",23,"Yes","No","Fiber optic","Yes","No","No","No","Yes","Yes","Yes","Electronic check",95.1,2326.05,"No"
"0886-QGENL","Female",1,"Yes","No",27,"Yes","No","Fiber optic","Yes","No","Yes","No","Yes","Yes","Yes","Electronic check",101.25,2754.45,"Yes"
"4430-UZIPO","Male",0,"No","No",3,"No","No phone service","DSL","No","Yes","No","Yes","No","No","Yes","Mailed check",36.85,108.7,"Yes"
"3486-KHMLI","Male",0,"No","Yes",21,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Mailed check",24.7,467.15,"No"
"9600-NAXZN","Male",0,"No","No",43,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Yes","Electronic check",101.4,4528,"Yes"
"0533-BNWKF","Female",1,"Yes","No",55,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","Yes","Electronic check",85.45,4874.7,"Yes"
"4349-GFQHK","Male",0,"No","No",1,"Yes","Yes","DSL","No","No","Yes","No","No","No","No","Electronic check",54.35,54.35,"Yes"
"5084-OOVCJ","Female",0,"Yes","Yes",17,"Yes","No","DSL","Yes","No","No","Yes","No","No","Yes","Credit card (automatic)",55.35,920.5,"No"
"1481-ZUWZA","Male",0,"No","No",28,"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","Yes","Yes","Credit card (automatic)",94.5,2659.4,"Yes"
"9717-QEBGU","Male",0,"No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Yes","Electronic check",70.3,144,"No"
"3170-GWYKC","Female",0,"No","No",60,"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Yes","Bank transfer (automatic)",104.95,6236.75,"No"
"1049-FYSYG","Female",0,"Yes","No",17,"No","No phone service","DSL","No","Yes","Yes","No","No","No","Yes","Credit card (automatic)",35.65,646.05,"No"
"5644-PDMZC","Female",1,"No","No",2,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","No","Electronic check",89.5,161.5,"Yes"
"5655-JSMZM","Male",1,"No","No",49,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Yes","Electronic check",96.2,4718.25,"Yes"
"6982-UQZLY","Female",1,"Yes","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Yes","Mailed check",20.85,20.85,"Yes"
"3801-HMYNL","Male",0,"Yes","Yes",1,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","No","Mailed check",89.15,89.15,"Yes"
"2454-RPBRZ","Female",1,"Yes","No",12,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","Yes","Electronic check",98.1,1060.2,"Yes"
"6618-RYATB","Female",0,"No","No",1,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Yes","Mailed check",79.55,79.55,"Yes"
"9819-FBNSV","Male",1,"Yes","No",37,"Yes","No","Fiber optic","No","No","No","No","No","No","Yes","Bank transfer (automatic)",72.25,2575.45,"No"
"9508-ILZDG","Female",1,"No","No",34,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","No","Yes","Electronic check",96.35,3190.25,"No"
"2302-ANTDP","Female",1,"Yes","No",48,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","No","Electronic check",117.45,5438.9,"Yes"
"2303-PJYHN","Female",0,"Yes","No",2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Bank transfer (automatic)",19.85,52,"No"
"0567-GGCAC","Female",0,"No","No",7,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","No","Electronic check",61.4,438.9,"No"
"8605-ITULD","Female",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Mailed check",19.55,19.55,"No"
"7779-LGOVN","Male",1,"Yes","No",10,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Yes","Electronic check",86.65,856.65,"Yes"
"3797-FKOGQ","Male",0,"No","Yes",11,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","No","Electronic check",86.2,893.2,"No"
"6322-HRPFA","Male",0,"Yes","Yes",49,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","No","Credit card (automatic)",59.6,2970.3,"No"
"9189-JWSHV","Female",1,"Yes","No",24,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Yes","Electronic check",93.55,2264.05,"Yes"
"7384-GHBPI","Male",0,"Yes","No",3,"No","No phone service","DSL","No","No","No","No","No","Yes","Yes","Electronic check",35.15,99.75,"Yes"
"1134-YWTYF","Male",0,"Yes","No",27,"Yes","No","DSL","No","Yes","No","Yes","No","No","Yes","Electronic check",53.8,1389.85,"No"
"2669-OIDSD","Female",0,"Yes","No",48,"Yes","No","Fiber optic","No","No","Yes","Yes","Yes","Yes","Yes","Credit card (automatic)",100.05,4834,"No"
"3873-NFTGI","Male",0,"No","No",14,"Yes","Yes","DSL","No","Yes","No","No","No","No","Yes","Credit card (automatic)",55.5,767.55,"No"
"7669-LCRSD","Male",0,"Yes","Yes",12,"Yes","No","DSL","No","No","No","No","Yes","No","Yes","Mailed check",56.3,628.65,"No"
"7665-TOALD","Female",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Yes","Electronic check",69.6,69.6,"Yes"
"3374-PZLXD","Male",0,"No","No",34,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","Mailed check",19.7,675.6,"No"
